src,dst,bandwidth,latency
0,17,1000,3.0384619767814414
0,21,10000,1.8655889598227868
0,26,1000,7.218439642922194
0,39,10000,5.659762154747321
0,42,10000,2.2376884973139393
0,43,10000,7.616945073166949
0,47,10000,9.322242564507064
1,2,10000,7.2620595941057395
1,16,1000,6.939856414307611
1,24,10000,9.83951508996492
1,30,10000,5.766855205204059
1,33,10000,9.966283297821318
1,40,10000,9.074941821579941
1,48,1000,8.943727088704058
2,8,1000,4.051268119438307
2,9,1000,7.303220469754942
2,16,10000,9.073992339573193
2,20,10000,4.640573144099711
3,6,1000,6.77828481538859
3,7,1000,9.420714947988527
3,16,10000,9.086987696743714
3,27,10000,6.226179592928092
3,31,10000,1.913243885794289
3,32,1000,9.762974530797855
4,28,10000,2.4472724627574878
4,42,10000,5.37052378227604
5,29,1000,6.867651335523405
5,33,1000,2.583327274096108
5,49,10000,3.135241787471201
6,11,1000,2.6094043829919595
6,20,10000,6.846696091424932
6,22,1000,7.488459318269164
6,25,10000,6.114777430019244
6,28,10000,5.57932669154884
7,11,10000,3.386821309135529
7,14,10000,6.308837628044895
7,21,10000,4.537879522000844
7,38,10000,9.154889089466986
7,39,1000,8.153301731874835
8,29,10000,6.805930258275083
8,30,1000,5.432659244369775
8,32,1000,3.0716674141739975
8,39,10000,3.526951261967702
9,24,1000,7.916986128756781
9,31,10000,2.5939961146634403
9,41,10000,5.229500625918487
10,25,10000,9.233779511984036
10,26,1000,7.729468965076725
10,28,1000,9.354867063289529
10,44,1000,5.974884701519409
10,49,1000,9.672579793803276
11,20,1000,1.6781163040551539
11,33,1000,4.465879557417328
11,44,1000,3.4162737120114115
12,22,1000,2.5254347201748324
12,17,1000,4.5522232012852495
13,15,10000,7.264268170074757
13,17,10000,1.633745177645895
13,34,10000,6.535065040292528
13,35,10000,4.227821031665475
13,40,1000,5.664966871273631
14,17,10000,3.9029568781474047
15,41,10000,7.273141668957412
15,47,1000,7.380198972191067
15,49,1000,3.64232659838044
16,20,1000,4.778027708016488
16,32,10000,8.803650867220934
16,39,1000,1.7343476236021633
17,38,1000,5.513646652184796
18,31,1000,2.74846558160838
18,36,10000,7.31770189531933
19,23,10000,1.4569167793545725
19,37,1000,4.041956411663822
19,39,10000,6.209784059568029
19,49,10000,6.204521268965566
20,23,10000,3.953374007272587
21,31,10000,5.883801712368189
21,34,1000,8.55040151862427
21,40,10000,1.2745022494514449
21,43,10000,1.3495126098648087
21,49,1000,4.241715772701366
22,32,10000,3.939861176164368
22,33,10000,7.9299419778874976
22,39,10000,9.687266473516928
22,47,1000,1.768127184943912
23,35,1000,2.749420305953857
23,43,10000,5.865716094490959
23,46,1000,2.2451778317602122
24,31,10000,9.782668715162812
24,37,10000,7.431355937619569
24,38,1000,8.156675752918332
25,33,1000,4.901686638226678
25,37,10000,1.7061074320803935
25,48,1000,2.6590030689823303
27,28,10000,8.523821084609853
27,41,1000,7.1964991068882975
29,31,1000,2.559648880637612
29,33,1000,4.98117006757994
29,46,10000,5.943039982355084
30,44,10000,2.645793973965766
31,40,1000,3.5194050725134858
32,33,10000,5.6502663168391
33,38,10000,5.989186472602606
34,38,10000,7.570353849056366
34,47,1000,3.229578905510417
35,39,10000,2.4278180287824194
35,41,10000,1.1295413976678028
36,38,10000,1.8261915923209768
36,39,1000,1.3665592208707311
37,46,10000,9.815594757593576
38,47,1000,5.267564461785927
39,40,10000,7.870279807035199
41,43,1000,5.261245937025091
41,48,1000,5.182064316456502
42,44,1000,4.586542609576361
42,48,10000,9.542311584322473
45,49,10000,1.4077360879484007
